,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11
198,Not so worried,Not so worried,No,No,No,Somewhat familiar,Somewhat familiar,18 - 29,Male,Prefer not to answer,West North Central
199,Not so worried,Not so worried,Yes,No,No,Very familiar,Very familiar,30 - 44,Male,"$0 to $9,999",East North Central
200,Not at all worried,Not at all worried,No,No,No,Not at all familiar,Not at all familiar,60,Female,"$10,000 to $24,999",East North Central
201,Somewhat worried,Very worried,Yes,"Yes, one or more major ones",No,Somewhat familiar,Somewhat familiar,60,Female,"$75,000 to $99,999",Mountain
202,Not at all worried,Somewhat worried,No,No,No,Somewhat familiar,Very familiar,45 - 59,Male,"$125,000 to $149,999",South Atlantic
203,Not so worried,Not so worried,Yes,"Yes, one or more minor ones",No,Somewhat familiar,Not so familiar,60,Male,"$25,000 to $49,999",South Atlantic
204,Somewhat worried,Somewhat worried,No,"Yes, one or more minor ones",Yes,Very familiar,Somewhat familiar,45 - 59,Male,"$50,000 to $74,999",Mountain
205,Not at all worried,Not at all worried,Yes,"Yes, one or more minor ones",No,Very familiar,Very familiar,60,Male,"$125,000 to $149,999",Middle Atlantic
206,Somewhat worried,Somewhat worried,No,No,No,Not so familiar,Not so familiar,30 - 44,Male,"$75,000 to $99,999",South Atlantic
207,Not at all worried,Not at all worried,No,No,No,Somewhat familiar,Not so familiar,30 - 44,Male,"$175,000 to $199,999",West South Central
208,Not so worried,Not so worried,Yes,"Yes, one or more major ones",Yes,Extremely familiar,Very familiar,45 - 59,Male,"$100,000 to $124,999",Pacific
209,Somewhat worried,Somewhat worried,No,"Yes, one or more major ones",No,Somewhat familiar,Very familiar,60,Female,"$150,000 to $174,999",Pacific
210,Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Very familiar,Not at all familiar,30 - 44,Male,"$150,000 to $174,999",Middle Atlantic
211,Not at all worried,Not at all worried,Yes,"Yes, one or more major ones",Yes,Extremely familiar,Extremely familiar,45 - 59,Male,"$25,000 to $49,999",West South Central
212,Not so worried,Somewhat worried,No,"Yes, one or more minor ones",No,Not at all familiar,Very familiar,18 - 29,Female,Prefer not to answer,Pacific
213,Not at all worried,Not at all worried,No,No,No,Not so familiar,Somewhat familiar,18 - 29,Female,"$25,000 to $49,999",Mountain
214,Not at all worried,Very worried,Yes,No,No,Somewhat familiar,Somewhat familiar,18 - 29,Female,"$25,000 to $49,999",East North Central
215,Not so worried,Not so worried,Yes,"Yes, one or more minor ones",No,Very familiar,Somewhat familiar,30 - 44,Male,"$25,000 to $49,999",South Atlantic
216,Not at all worried,Not at all worried,No,No,No,Extremely familiar,Extremely familiar,30 - 44,Male,"$25,000 to $49,999",East South Central
217,Not so worried,Somewhat worried,Yes,"Yes, one or more minor ones",Yes,Very familiar,Very familiar,45 - 59,Male,"$100,000 to $124,999",Middle Atlantic
218,Not so worried,Not so worried,Yes,"Yes, one or more major ones",Yes,Extremely familiar,Not at all familiar,60,Female,"$50,000 to $74,999",Pacific
219,Very worried,Very worried,Yes,"Yes, one or more minor ones",No,Somewhat familiar,Not so familiar,18 - 29,Female,"$10,000 to $24,999",Pacific
220,Not at all worried,Not at all worried,No,No,No,Not at all familiar,Not at all familiar,18 - 29,Female,"$0 to $9,999",West South Central
221,Not at all worried,Not at all worried,Yes,No,No,Not at all familiar,Not at all familiar,60,Male,"$25,000 to $49,999",East North Central
222,Somewhat worried,Somewhat worried,No,No,No,Somewhat familiar,Somewhat familiar,60,Female,"$25,000 to $49,999",West North Central
223,Not so worried,Somewhat worried,No,"Yes, one or more minor ones",No,Not so familiar,Somewhat familiar,18 - 29,Female,"$25,000 to $49,999",Pacific
224,Not so worried,Not so worried,No,"Yes, one or more minor ones",No,Not at all familiar,Not at all familiar,60,Female,"$50,000 to $74,999",East South Central
225,Not at all worried,Not at all worried,No,No,No,Very familiar,Somewhat familiar,60,Male,"$50,000 to $74,999",East North Central
226,Very worried,Extremely worried,No,"Yes, one or more minor ones",Yes,Extremely familiar,Somewhat familiar,45 - 59,Male,"$25,000 to $49,999",South Atlantic
227,Not at all worried,Not so worried,No,No,No,Somewhat familiar,Not at all familiar,60,Female,Prefer not to answer,West North Central
228,Somewhat worried,Somewhat worried,Yes,"Yes, one or more minor ones",No,Very familiar,Extremely familiar,18 - 29,Female,"$25,000 to $49,999",Middle Atlantic
229,Not at all worried,Not at all worried,No,No,No,Not at all familiar,Not at all familiar,45 - 59,Male,"$75,000 to $99,999",West South Central
230,Not so worried,Somewhat worried,Yes,"Yes, one or more minor ones",No,Somewhat familiar,Not so familiar,60,Female,"$25,000 to $49,999",South Atlantic
231,Somewhat worried,Very worried,Yes,"Yes, one or more major ones",Yes,Somewhat familiar,Somewhat familiar,18 - 29,Female,Prefer not to answer,Pacific
232,Somewhat worried,Not so worried,No,"Yes, one or more minor ones",Yes,Very familiar,Somewhat familiar,60,Female,"$125,000 to $149,999",East South Central
233,Not at all worried,Not at all worried,No,No,No,Somewhat familiar,Somewhat familiar,45 - 59,Male,"$175,000 to $199,999",East North Central
234,Not so worried,Not so worried,Yes,"Yes, one or more major ones",No,Somewhat familiar,Somewhat familiar,60,Male,"$125,000 to $149,999",Mountain
235,Not so worried,Not so worried,Yes,No,No,Very familiar,Very familiar,30 - 44,Male,"$25,000 to $49,999",New England
236,Extremely worried,Extremely worried,No,"Yes, one or more minor ones",No,Not at all familiar,Not at all familiar,18 - 29,Female,"$0 to $9,999",
237,Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Extremely familiar,Extremely familiar,45 - 59,Male,"$75,000 to $99,999",South Atlantic
238,Not so worried,Very worried,No,No,Yes,Not so familiar,Somewhat familiar,30 - 44,Male,"$10,000 to $24,999",South Atlantic
239,Not at all worried,Not so worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Not so familiar,30 - 44,Male,"$50,000 to $74,999",West South Central
240,Somewhat worried,Not so worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Not at all familiar,18 - 29,Female,"$0 to $9,999",South Atlantic
241,Not so worried,Very worried,No,No,No,Not at all familiar,Not at all familiar,60,Male,"$75,000 to $99,999",East North Central
242,Somewhat worried,Not so worried,Yes,"Yes, one or more major ones",No,Extremely familiar,Somewhat familiar,60,Male,"$125,000 to $149,999",West South Central
243,Somewhat worried,Somewhat worried,Yes,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,18 - 29,Female,"$75,000 to $99,999",Pacific
244,Not so worried,Not so worried,No,"Yes, one or more major ones",Yes,Not so familiar,Not so familiar,60,Male,"$50,000 to $74,999",Pacific
245,Extremely worried,Extremely worried,No,No,No,Not at all familiar,Not at all familiar,45 - 59,Male,"$50,000 to $74,999",West North Central
246,Somewhat worried,Very worried,Yes,No,No,Very familiar,Somewhat familiar,30 - 44,Male,"$50,000 to $74,999",New England
247,Not so worried,Not so worried,No,No,No,Not so familiar,Not so familiar,60,Female,Prefer not to answer,East South Central
248,Not so worried,Not so worried,No,"Yes, one or more minor ones",No,Very familiar,Somewhat familiar,45 - 59,Male,"$100,000 to $124,999",New England
249,Very worried,Extremely worried,Yes,"Yes, one or more minor ones",No,Not so familiar,Not so familiar,18 - 29,Female,Prefer not to answer,New England
250,Not so worried,Not so worried,No,"Yes, one or more minor ones",No,Very familiar,Very familiar,60,Male,"$25,000 to $49,999",East North Central
251,Very worried,Extremely worried,No,No,Yes,Not so familiar,Not so familiar,18 - 29,Female,Prefer not to answer,East North Central
252,Not so worried,Not so worried,No,"Yes, one or more minor ones",No,Not so familiar,Not so familiar,60,Female,"$75,000 to $99,999",Middle Atlantic
253,Very worried,Extremely worried,Yes,No,No,Somewhat familiar,Extremely familiar,18 - 29,Male,"$0 to $9,999",West North Central
254,Not at all worried,Not at all worried,No,"Yes, one or more major ones",No,Very familiar,Extremely familiar,60,Male,"$50,000 to $74,999",Mountain
255,Extremely worried,Extremely worried,Yes,No,Yes,Not at all familiar,Not at all familiar,18 - 29,Female,"$0 to $9,999",East North Central
256,Not at all worried,Not at all worried,No,"Yes, one or more minor ones",Yes,Not at all familiar,Not at all familiar,60,Male,"$50,000 to $74,999",Middle Atlantic
257,Not at all worried,Not at all worried,No,No,No,Not so familiar,Not at all familiar,60,Female,Prefer not to answer,West North Central
258,Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Very familiar,Somewhat familiar,60,Male,"$75,000 to $99,999",East North Central
259,Somewhat worried,Somewhat worried,No,"Yes, one or more minor ones",Yes,Somewhat familiar,Somewhat familiar,45 - 59,Male,"$100,000 to $124,999",Middle Atlantic
260,Not so worried,Not at all worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,45 - 59,Female,"$25,000 to $49,999",West North Central
261,Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Not at all familiar,45 - 59,Female,"$75,000 to $99,999",West North Central
262,Extremely worried,Extremely worried,Yes,No,No,Very familiar,Not so familiar,18 - 29,Female,"$0 to $9,999",East North Central
263,Not at all worried,Not at all worried,Yes,"Yes, one or more minor ones",No,Somewhat familiar,Very familiar,30 - 44,Male,Prefer not to answer,Mountain
264,Somewhat worried,Somewhat worried,Yes,"Yes, one or more minor ones",Yes,Not so familiar,Somewhat familiar,18 - 29,Female,"$50,000 to $74,999",Pacific
265,Not at all worried,Not at all worried,No,No,No,Somewhat familiar,Not at all familiar,45 - 59,Female,"$50,000 to $74,999",East North Central
266,Somewhat worried,Somewhat worried,No,No,No,Somewhat familiar,Somewhat familiar,18 - 29,Male,"$50,000 to $74,999",South Atlantic
267,Not at all worried,Not at all worried,No,No,No,Somewhat familiar,Not at all familiar,45 - 59,Female,"$50,000 to $74,999",New England
268,Somewhat worried,Somewhat worried,Yes,"Yes, one or more minor ones",No,Very familiar,Not so familiar,45 - 59,Female,"$175,000 to $199,999",West South Central
269,Not at all worried,Not at all worried,Yes,No,No,Somewhat familiar,Not at all familiar,18 - 29,Male,"$0 to $9,999",West South Central
270,Not at all worried,Not at all worried,No,"Yes, one or more major ones",No,Very familiar,Not at all familiar,45 - 59,Male,"$50,000 to $74,999",Mountain
271,Somewhat worried,Somewhat worried,Yes,"Yes, one or more minor ones",No,Very familiar,Somewhat familiar,60,Male,"$10,000 to $24,999",Mountain
272,Not so worried,Not so worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Very familiar,45 - 59,Female,Prefer not to answer,East North Central
273,Not so worried,Not so worried,Yes,"Yes, one or more major ones",No,Somewhat familiar,Not so familiar,45 - 59,Female,"$25,000 to $49,999",Pacific
274,Not at all worried,Not at all worried,No,"Yes, one or more major ones",No,Extremely familiar,Very familiar,60,Female,"$25,000 to $49,999",Mountain
275,Not so worried,Not at all worried,No,"Yes, one or more major ones",No,Extremely familiar,Somewhat familiar,30 - 44,Male,Prefer not to answer,Pacific
276,Somewhat worried,Not so worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Not so familiar,45 - 59,Female,"$125,000 to $149,999",West South Central
277,Not at all worried,Not at all worried,Yes,"Yes, one or more minor ones",No,Extremely familiar,Extremely familiar,45 - 59,Male,"$10,000 to $24,999",West North Central
278,Not at all worried,Not at all worried,Yes,"Yes, one or more minor ones",No,Very familiar,Very familiar,45 - 59,Male,"$125,000 to $149,999",East North Central
279,Not at all worried,Not so worried,Yes,No,No,Very familiar,Somewhat familiar,18 - 29,Female,"$25,000 to $49,999",West North Central
280,Not at all worried,Not at all worried,No,No,No,Somewhat familiar,Somewhat familiar,18 - 29,Female,"$0 to $9,999",West North Central
281,Very worried,Very worried,Yes,"Yes, one or more major ones",Yes,Somewhat familiar,Not at all familiar,45 - 59,Female,Prefer not to answer,Pacific
282,Not so worried,Not so worried,No,"Yes, one or more minor ones",No,Very familiar,Extremely familiar,60,Female,"$50,000 to $74,999",East North Central
283,Not so worried,Not so worried,Yes,"Yes, one or more minor ones",No,Somewhat familiar,Not at all familiar,45 - 59,Female,"$125,000 to $149,999",Middle Atlantic
284,Not at all worried,Not at all worried,No,No,No,Somewhat familiar,Not at all familiar,45 - 59,Female,"$175,000 to $199,999",New England
285,Somewhat worried,Somewhat worried,Yes,"Yes, one or more minor ones",No,Not so familiar,Not at all familiar,18 - 29,Female,"$25,000 to $49,999",East South Central
286,Not at all worried,Not at all worried,No,No,No,Somewhat familiar,Not so familiar,60,Male,"$50,000 to $74,999",West North Central
287,Somewhat worried,Somewhat worried,No,No,No,Not at all familiar,Not so familiar,45 - 59,Female,"$0 to $9,999",West South Central
288,Not so worried,Not so worried,No,"Yes, one or more minor ones",Yes,Not so familiar,Not so familiar,45 - 59,Female,"$25,000 to $49,999",Pacific
289,Very worried,Very worried,Yes,"Yes, one or more minor ones",Yes,Somewhat familiar,Very familiar,45 - 59,Female,"$25,000 to $49,999",Mountain
290,Somewhat worried,Somewhat worried,Yes,No,No,Somewhat familiar,Not at all familiar,45 - 59,Female,"$175,000 to $199,999",West South Central
291,Not at all worried,Not at all worried,No,"Yes, one or more major ones",No,Somewhat familiar,Very familiar,45 - 59,Male,"$75,000 to $99,999",New England
292,Not so worried,Not so worried,Yes,"Yes, one or more minor ones",No,Not so familiar,Not so familiar,30 - 44,Female,Prefer not to answer,South Atlantic
293,Somewhat worried,Somewhat worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,45 - 59,Male,"$75,000 to $99,999",
294,Not at all worried,Somewhat worried,No,No,No,Somewhat familiar,Not at all familiar,60,Female,Prefer not to answer,East North Central
295,Not at all worried,Not at all worried,No,No,No,Very familiar,Not at all familiar,30 - 44,Male,"$50,000 to $74,999",Middle Atlantic
296,Not so worried,Not at all worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,18 - 29,Female,"$10,000 to $24,999",South Atlantic
297,Somewhat worried,Somewhat worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Not so familiar,45 - 59,Male,"$125,000 to $149,999",Pacific
298,Not so worried,Not so worried,Yes,"Yes, one or more minor ones",No,Very familiar,Very familiar,30 - 44,Female,"$200,000 and up",West North Central
299,Somewhat worried,Somewhat worried,No,No,No,Not so familiar,Not so familiar,30 - 44,Female,"$25,000 to $49,999",West North Central
300,Not so worried,Somewhat worried,No,"Yes, one or more minor ones",No,Very familiar,Very familiar,45 - 59,Female,"$50,000 to $74,999",West North Central
301,Not so worried,Not so worried,Yes,No,No,Extremely familiar,Extremely familiar,30 - 44,Female,"$125,000 to $149,999",East North Central
302,Not at all worried,Not at all worried,No,No,No,Not so familiar,Not so familiar,30 - 44,Female,"$75,000 to $99,999",East North Central
303,Not at all worried,Not at all worried,No,No,No,Not at all familiar,Not at all familiar,18 - 29,Female,"$10,000 to $24,999",East North Central
304,Not at all worried,Not at all worried,Yes,No,No,Somewhat familiar,Somewhat familiar,30 - 44,Male,"$50,000 to $74,999",West South Central
305,Somewhat worried,Somewhat worried,No,"Yes, one or more minor ones",Yes,Somewhat familiar,Not at all familiar,60,Female,Prefer not to answer,East North Central
306,Somewhat worried,Somewhat worried,Yes,"Yes, one or more minor ones",Yes,Very familiar,Extremely familiar,30 - 44,Female,Prefer not to answer,Pacific
307,Not so worried,Not so worried,Yes,"Yes, one or more major ones",Yes,Extremely familiar,Extremely familiar,60,Male,"$150,000 to $174,999",West South Central
308,Somewhat worried,Somewhat worried,Yes,No,No,Not so familiar,Somewhat familiar,45 - 59,Female,"$100,000 to $124,999",East North Central
309,Not at all worried,Not at all worried,Yes,No,No,Somewhat familiar,Very familiar,18 - 29,Female,"$75,000 to $99,999",West South Central
310,Not so worried,Somewhat worried,Yes,No,No,Not at all familiar,Somewhat familiar,30 - 44,Male,"$50,000 to $74,999",West South Central
311,Not so worried,Not at all worried,Yes,"Yes, one or more major ones",No,Not so familiar,Not so familiar,45 - 59,Female,"$75,000 to $99,999",Pacific
312,Not at all worried,Not at all worried,No,No,No,Somewhat familiar,Not at all familiar,60,Male,Prefer not to answer,West South Central
313,Not at all worried,Not at all worried,No,No,No,Somewhat familiar,Somewhat familiar,30 - 44,Female,"$100,000 to $124,999",West North Central
314,Not at all worried,Not at all worried,Yes,No,No,Somewhat familiar,Somewhat familiar,30 - 44,Female,"$25,000 to $49,999",East South Central
315,Somewhat worried,Not at all worried,No,"Yes, one or more major ones",Yes,Very familiar,Somewhat familiar,30 - 44,Male,"$25,000 to $49,999",New England
316,Somewhat worried,Not so worried,No,"Yes, one or more major ones",No,Not so familiar,Not at all familiar,30 - 44,Female,"$10,000 to $24,999",
317,Not at all worried,Not at all worried,Yes,No,No,Not so familiar,Not so familiar,60,Male,"$50,000 to $74,999",West North Central
318,Not so worried,Not at all worried,No,No,No,Very familiar,Somewhat familiar,18 - 29,Female,"$0 to $9,999",Middle Atlantic
319,Not at all worried,Not at all worried,No,No,No,Somewhat familiar,Very familiar,18 - 29,Female,"$25,000 to $49,999",Mountain
320,Not at all worried,Not so worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Very familiar,30 - 44,Male,"$10,000 to $24,999",Pacific
321,Somewhat worried,Very worried,Yes,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,30 - 44,Female,"$25,000 to $49,999",West South Central
322,Not so worried,Not so worried,No,No,No,Not so familiar,Somewhat familiar,45 - 59,Female,Prefer not to answer,West South Central
323,Not at all worried,Extremely worried,No,No,No,Not so familiar,Not at all familiar,30 - 44,Male,Prefer not to answer,South Atlantic
324,Extremely worried,Very worried,Yes,"Yes, one or more major ones",No,Very familiar,Extremely familiar,30 - 44,Female,"$100,000 to $124,999",East North Central
325,Extremely worried,Extremely worried,Yes,No,No,Not so familiar,Not so familiar,30 - 44,Male,Prefer not to answer,Middle Atlantic
326,Somewhat worried,Somewhat worried,Yes,"Yes, one or more minor ones",Yes,Very familiar,Somewhat familiar,30 - 44,Female,"$175,000 to $199,999",Pacific
327,Not at all worried,Not at all worried,No,No,No,Not at all familiar,Not at all familiar,18 - 29,Female,"$25,000 to $49,999",East North Central
328,Not at all worried,Not so worried,No,"Yes, one or more minor ones",No,Very familiar,Not at all familiar,60,Female,Prefer not to answer,Middle Atlantic
329,Not so worried,Not so worried,No,No,No,Very familiar,Very familiar,45 - 59,Male,Prefer not to answer,Middle Atlantic
330,Not so worried,Somewhat worried,No,No,No,Somewhat familiar,Not so familiar,60,Female,Prefer not to answer,East South Central
331,Not so worried,Not so worried,Yes,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,60,Female,"$25,000 to $49,999",Middle Atlantic
332,Somewhat worried,Somewhat worried,No,"Yes, one or more major ones",No,Very familiar,Extremely familiar,60,Female,"$10,000 to $24,999",Pacific
333,Not so worried,Not so worried,Yes,No,No,Somewhat familiar,Not at all familiar,18 - 29,Female,"$75,000 to $99,999",New England
334,Not so worried,Not so worried,Yes,No,No,Very familiar,Somewhat familiar,60,Male,"$100,000 to $124,999",East North Central
335,Extremely worried,Extremely worried,Yes,No,No,Not at all familiar,Not at all familiar,18 - 29,Female,"$0 to $9,999",Pacific
336,Somewhat worried,Somewhat worried,Yes,"Yes, one or more minor ones",Yes,Somewhat familiar,Somewhat familiar,18 - 29,Female,"$150,000 to $174,999",Pacific
337,Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Not so familiar,Not at all familiar,30 - 44,Male,"$100,000 to $124,999",South Atlantic
338,Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Not at all familiar,Not at all familiar,30 - 44,Female,"$125,000 to $149,999",South Atlantic
339,Somewhat worried,Not so worried,Yes,No,No,Not at all familiar,Not at all familiar,30 - 44,Female,"$100,000 to $124,999",Middle Atlantic
340,Not at all worried,Not at all worried,No,No,No,Somewhat familiar,Not at all familiar,45 - 59,Female,"$50,000 to $74,999",East North Central
341,Not at all worried,Not at all worried,Yes,"Yes, one or more minor ones",No,Somewhat familiar,Not at all familiar,60,Male,Prefer not to answer,Pacific
342,Not at all worried,Not so worried,No,No,No,Very familiar,Very familiar,30 - 44,Female,"$100,000 to $124,999",New England
343,Somewhat worried,Somewhat worried,Yes,No,No,Somewhat familiar,Not so familiar,45 - 59,Female,"$100,000 to $124,999",East North Central
344,Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Not so familiar,Not at all familiar,45 - 59,Female,"$200,000 and up",Middle Atlantic
345,Somewhat worried,Not so worried,No,"Yes, one or more minor ones",No,Very familiar,Not so familiar,18 - 29,Female,"$10,000 to $24,999",South Atlantic
346,Not at all worried,Not at all worried,Yes,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,45 - 59,Male,Prefer not to answer,West South Central
347,Very worried,Somewhat worried,No,"Yes, one or more minor ones",No,Very familiar,Not so familiar,60,Female,"$50,000 to $74,999",South Atlantic
348,Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Not so familiar,45 - 59,Male,"$150,000 to $174,999",Middle Atlantic
349,Not so worried,Not so worried,No,No,No,Not at all familiar,Not at all familiar,45 - 59,Female,Prefer not to answer,Middle Atlantic
350,Not so worried,Not so worried,No,No,No,Somewhat familiar,Not so familiar,45 - 59,Female,Prefer not to answer,East South Central
351,Not at all worried,Not so worried,Yes,"Yes, one or more minor ones",No,Extremely familiar,Extremely familiar,45 - 59,Female,"$75,000 to $99,999",East North Central
352,Somewhat worried,Somewhat worried,Yes,"Yes, one or more minor ones",No,Very familiar,Very familiar,45 - 59,Male,"$0 to $9,999",Middle Atlantic
353,Not so worried,Not so worried,No,No,No,Somewhat familiar,Not so familiar,18 - 29,Female,Prefer not to answer,East North Central
354,Not so worried,Not so worried,Yes,"Yes, one or more minor ones",No,Very familiar,Not at all familiar,60,Female,Prefer not to answer,Middle Atlantic
355,Not at all worried,Not at all worried,No,No,No,Very familiar,Not so familiar,60,Male,"$75,000 to $99,999",New England
356,Not so worried,Not so worried,No,No,No,Very familiar,Somewhat familiar,18 - 29,Male,Prefer not to answer,New England
357,Extremely worried,Extremely worried,No,"Yes, one or more minor ones",No,Not at all familiar,Not at all familiar,18 - 29,Male,"$0 to $9,999",South Atlantic
358,Extremely worried,Extremely worried,Yes,No,No,,,,,,
359,Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,30 - 44,Female,"$0 to $9,999",East South Central
360,Not at all worried,Not at all worried,Yes,No,No,Not so familiar,Not at all familiar,45 - 59,Male,Prefer not to answer,
361,Not so worried,Not so worried,No,No,No,Somewhat familiar,Not so familiar,45 - 59,Female,Prefer not to answer,New England
362,Not at all worried,Not at all worried,Yes,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,60,Male,"$75,000 to $99,999",Middle Atlantic
363,Not at all worried,Not so worried,No,"Yes, one or more minor ones",No,Extremely familiar,Extremely familiar,60,Female,"$50,000 to $74,999",Middle Atlantic
364,Not so worried,Not so worried,Yes,No,No,Very familiar,Somewhat familiar,18 - 29,Male,"$100,000 to $124,999",South Atlantic
365,Somewhat worried,Not so worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,30 - 44,Female,"$75,000 to $99,999",West South Central
366,Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,60,Male,"$150,000 to $174,999",East North Central
367,Not at all worried,Not at all worried,Yes,"Yes, one or more major ones",Yes,Extremely familiar,Very familiar,45 - 59,Male,"$200,000 and up",Pacific
368,Somewhat worried,Somewhat worried,No,"Yes, one or more minor ones",No,Not so familiar,Not at all familiar,18 - 29,Female,Prefer not to answer,East North Central
369,Somewhat worried,Somewhat worried,Yes,"Yes, one or more minor ones",No,Somewhat familiar,Not at all familiar,30 - 44,Female,"$75,000 to $99,999",West North Central
370,Not so worried,Not so worried,No,No,No,Not at all familiar,Not at all familiar,45 - 59,Female,Prefer not to answer,Middle Atlantic
371,Not so worried,Not so worried,No,"Yes, one or more major ones",Yes,Extremely familiar,Somewhat familiar,60,Male,"$0 to $9,999",South Atlantic
372,Somewhat worried,Not so worried,Yes,"Yes, one or more minor ones",No,Somewhat familiar,Not so familiar,60,Female,"$25,000 to $49,999",East North Central
373,Somewhat worried,Not so worried,Yes,"Yes, one or more minor ones",Yes,Very familiar,Very familiar,60,Female,"$25,000 to $49,999",Mountain
374,Not so worried,Somewhat worried,Yes,"Yes, one or more minor ones",No,Somewhat familiar,Not at all familiar,60,Female,"$75,000 to $99,999",New England
375,Not at all worried,Not so worried,Yes,"Yes, one or more minor ones",No,Extremely familiar,Extremely familiar,30 - 44,Female,"$75,000 to $99,999",Middle Atlantic
376,Somewhat worried,Somewhat worried,No,"Yes, one or more minor ones",Yes,Very familiar,Not so familiar,60,Male,"$75,000 to $99,999",West North Central
377,Not so worried,Somewhat worried,Yes,No,No,Somewhat familiar,Somewhat familiar,30 - 44,Female,"$100,000 to $124,999",East North Central
378,Not so worried,Somewhat worried,Yes,No,No,Very familiar,Very familiar,45 - 59,Male,"$50,000 to $74,999",West South Central
379,Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Very familiar,Very familiar,60,Female,"$25,000 to $49,999",Mountain
380,Not at all worried,Not at all worried,No,"Yes, one or more major ones",Yes,Extremely familiar,Extremely familiar,60,Male,Prefer not to answer,Pacific
381,Not at all worried,Not so worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Not so familiar,45 - 59,Female,Prefer not to answer,East North Central
382,Not so worried,Somewhat worried,No,"Yes, one or more major ones",Yes,Very familiar,Very familiar,60,Male,Prefer not to answer,Pacific
383,Not at all worried,Not at all worried,No,No,No,Very familiar,Somewhat familiar,30 - 44,Male,"$25,000 to $49,999",New England
384,Not so worried,Somewhat worried,Yes,No,No,Somewhat familiar,Not so familiar,18 - 29,Female,Prefer not to answer,Pacific
385,Not at all worried,Not at all worried,No,No,No,Somewhat familiar,Not at all familiar,30 - 44,Female,"$50,000 to $74,999",West North Central
386,Somewhat worried,Somewhat worried,Yes,"Yes, one or more minor ones",Yes,Very familiar,Somewhat familiar,45 - 59,Female,"$50,000 to $74,999",Pacific
387,Somewhat worried,Not so worried,Yes,"Yes, one or more major ones",Yes,Extremely familiar,Not so familiar,45 - 59,Female,Prefer not to answer,Pacific
388,Extremely worried,Extremely worried,Yes,"Yes, one or more minor ones",Yes,Not at all familiar,Not at all familiar,18 - 29,Female,"$10,000 to $24,999",South Atlantic
389,Very worried,Very worried,Yes,"Yes, one or more major ones",Yes,Extremely familiar,Very familiar,30 - 44,Female,"$125,000 to $149,999",Pacific
390,Not so worried,Not so worried,No,No,No,Not at all familiar,Somewhat familiar,60,Female,"$10,000 to $24,999",West South Central
391,Not so worried,Not so worried,No,"Yes, one or more minor ones",No,Very familiar,Not at all familiar,60,Male,"$75,000 to $99,999",South Atlantic
392,Not so worried,Not so worried,Yes,"Yes, one or more minor ones",Yes,Very familiar,Very familiar,30 - 44,Male,"$10,000 to $24,999",South Atlantic
393,Very worried,Very worried,No,"Yes, one or more minor ones",No,Very familiar,Somewhat familiar,18 - 29,Female,Prefer not to answer,East North Central
394,Not at all worried,Not at all worried,No,No,No,Not at all familiar,Somewhat familiar,30 - 44,Female,"$25,000 to $49,999",South Atlantic
395,Very worried,Extremely worried,Yes,,,,,,,,
396,Not so worried,Not at all worried,No,No,No,Somewhat familiar,Somewhat familiar,45 - 59,Male,"$100,000 to $124,999",East North Central
397,Somewhat worried,Somewhat worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Not at all familiar,60,Female,"$25,000 to $49,999",West North Central
398,Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Very familiar,Not at all familiar,45 - 59,Female,Prefer not to answer,South Atlantic
399,Not so worried,Not so worried,Yes,No,No,Somewhat familiar,Somewhat familiar,30 - 44,Female,"$75,000 to $99,999",West North Central
400,Not so worried,Not at all worried,Yes,No,No,Somewhat familiar,Very familiar,18 - 29,Male,"$25,000 to $49,999",Middle Atlantic
